Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,27.610001,27.770000,27.570000,27.700001,24.961832,47185200
2018-04-30,27.770000,27.920000,27.440001,27.450001,24.736544,41731400
2018-05-01,27.389999,27.480000,27.170000,27.459999,24.745556,46372400
2018-05-02,27.360001,27.469999,27.110001,27.150000,24.466196,45430300
2018-05-03,27.020000,27.059999,26.459999,26.920000,24.258932,68947900
2018-05-04,26.760000,27.420000,26.670000,27.270000,24.574339,40575600
2018-05-07,27.370001,27.559999,27.260000,27.450001,24.736544,36873600
2018-05-08,27.469999,27.830000,27.459999,27.639999,24.907761,47718500
2018-05-09,27.770000,28.120001,27.670000,28.049999,25.277233,43817000
2018-05-10,28.000000,28.340000,27.959999,28.280001,25.484497,41445500
2018-05-11,28.299999,28.450001,28.200001,28.260000,25.466475,25894000
2018-05-14,28.340000,28.389999,28.190001,28.240000,25.448454,31292900
2018-05-15,28.200001,28.340000,28.080000,28.190001,25.403397,54655800
2018-05-16,28.160000,28.320000,28.100000,28.240000,25.448454,31984900
2018-05-17,28.209999,28.280001,28.000000,28.180000,25.394381,45070400
2018-05-18,28.180000,28.190001,27.940001,27.950001,25.187119,33266100
2018-05-21,28.110001,28.260000,28.100000,28.150000,25.367344,29647900
2018-05-22,28.170000,28.500000,28.170000,28.340000,25.538570,52841400
2018-05-23,28.150000,28.240000,27.860001,28.160000,25.376358,44968500
2018-05-24,28.070000,28.090000,27.660000,27.940001,25.178106,43245200
2018-05-25,27.809999,27.900000,27.719999,27.850000,25.097004,39312500
2018-05-29,27.459999,27.500000,26.719999,26.920000,24.258932,126469700
2018-05-30,27.180000,27.520000,27.110001,27.410000,24.700500,65843700
2018-05-31,27.350000,27.389999,27.100000,27.180000,24.493233,66686900
2018-06-01,27.510000,27.629999,27.400000,27.480000,24.763580,62934300
2018-06-04,27.610001,27.670000,27.520000,27.570000,24.844679,44196900
2018-06-05,27.480000,27.520000,27.309999,27.450001,24.736544,44996800
2018-06-06,27.610001,27.969999,27.580000,27.950001,25.187119,61960000
2018-06-07,28.070000,28.180000,27.850000,28.040001,25.268223,65166100
2018-06-08,28.010000,28.110001,27.860001,28.080000,25.304268,47713400
2018-06-11,28.170000,28.270000,28.020000,28.020000,25.250198,47319600
2018-06-12,28.100000,28.170000,27.809999,27.950001,25.187119,55517200
2018-06-13,27.959999,28.180000,27.820000,27.850000,25.097004,61095800
2018-06-14,27.900000,27.950001,27.510000,27.590000,24.862705,70635500
2018-06-15,27.299999,27.559999,27.110001,27.469999,24.861799,63387600
2018-06-18,27.230000,27.459999,27.139999,27.420000,24.816547,49824600
2018-06-19,27.139999,27.420000,27.129999,27.350000,24.753195,50214700
2018-06-20,27.600000,27.600000,27.250000,27.280001,24.689842,42833600
2018-06-21,27.190001,27.360001,27.010000,27.200001,24.617439,75190900
2018-06-22,27.389999,27.420000,27.049999,27.070000,24.499779,61389400
2018-06-25,26.950001,27.000000,26.600000,26.780001,24.237316,80746100
2018-06-26,26.799999,26.830000,26.520000,26.690001,24.155853,56387800
2018-06-27,26.680000,26.879999,26.350000,26.360001,23.857195,78099200
2018-06-28,26.360001,26.700001,26.309999,26.590000,24.065353,78544800
2018-06-29,26.920000,27.070000,26.549999,26.590000,24.065353,77149900
2018-07-02,26.370001,26.730000,26.350000,26.719999,24.183012,66202800
2018-07-03,26.790001,26.870001,26.420000,26.480000,23.965801,30717800
2018-07-05,26.620001,26.680000,26.450001,26.540001,24.020102,40668500
2018-07-06,26.469999,26.780001,26.370001,26.670000,24.137754,41285000
2018-07-09,26.809999,27.309999,26.780001,27.280001,24.689842,73447400
2018-07-10,27.299999,27.389999,27.100000,27.180000,24.599337,51260600
2018-07-11,27.030001,27.190001,26.990000,27.049999,24.481676,46023700
2018-07-12,27.219999,27.240000,26.940001,27.100000,24.526932,64876800
2018-07-13,26.990000,27.070000,26.700001,26.980000,24.418324,64146900
2018-07-16,27.059999,27.480000,27.040001,27.459999,24.852751,55812000
2018-07-17,27.490000,27.600000,27.340000,27.490000,24.879904,55502200
2018-07-18,27.600000,27.980000,27.559999,27.930000,25.278131,59109200
2018-07-19,27.790001,27.799999,27.469999,27.510000,24.898006,61765100
